圧倒,あっとう,名詞,overwhelming,"圧(アツ): pressure; overpower / 倒(トウ): topple; overwhelm"
暗示,あんじ,名詞,suggestion; hint,"暗(アン): dark; hidden / 示(ジ): show; indicate"
違和感,いわかん,名詞,discomfort; awkward feeling,"違(イ): differ / 和(ワ): harmony / 感(カン): feeling"
意図,いと,名詞,intention; aim,"意(イ): mind; intent / 図(ト): plan; scheme"
移行,いこう,名詞,transition; shift,"移(イ): shift; move / 行(コウ): go; conduct"
維持,いじ,名詞,maintenance; preservation,"維(イ): maintain / 持(ジ): hold"
意識,いしき,名詞,consciousness; awareness,"意(イ): mind / 識(シキ): knowledge; recognition"
一概に,いちがいに,副詞,uniformly; categorically,"一(いち): one / 概(ガイ): outline; general"
一見,いっけん,名詞,at first glance,"一(いち): one / 見(ケン): see"
一帯,いったい,名詞,region; zone,"一(いち): one / 帯(タイ): belt; zone"
一変,いっぺん,名詞,complete change,"一(いち): one / 変(ヘン): change"
違反,いはん,名詞,violation,"違(イ): differ; wrong / 反(ハン): oppose"
引用,いんよう,名詞,quotation,"引(イン): pull / 用(ヨウ): use"
伺う,うかがう,動詞,ask; inquire; visit,"伺(シ): inquire; ask"
浮上,ふじょう,名詞,emergence; surfacing,"浮(フ): float / 上(ジョウ): rise"
受け止める,うけとめる,動詞,accept; interpret; catch,"受(ジュ): receive / 止(ト): stop; catch"
失う,うしなう,動詞,lose,"失(シツ): lose; error"
薄れる,うすれる,動詞,fade; diminish,"薄(ハク): thin; weak"
疑う,うたがう,動詞,doubt; suspect,"疑(ギ): doubt; suspect"
訴える,うったえる,動詞,appeal; sue; complain,"訴(ソ): sue; accuse"
運営,うんえい,名詞,management; operation,"運(ウン): carry; move / 営(エイ): operate; manage"
影響,えいきょう,名詞,influence; effect,"影(エイ): shadow / 響(キョウ): echo; affect"
営業,えいぎょう,名詞,business; sales,"営(エイ): operate / 業(ギョウ): business"
援助,えんじょ,名詞,aid; assistance,"援(エン): aid; assist / 助(ジョ): help"
応用,おうよう,名詞,application; practical use,"応(オウ): respond / 用(ヨウ): use"
横断,おうだん,名詞,crossing,"横(オウ): side; horizontal / 断(ダン): cut; sever"
追い込む,おいこむ,動詞,corner; drive into,"追(ツイ): chase / 込(こ): put into"
追及,ついきゅう,名詞,pursuit (responsibility),"追(ツイ): chase / 及(キュウ): reach"
追跡,ついせき,名詞,tracking; pursuit,"追(ツイ): chase / 跡(セキ): trace"
補う,おぎなう,動詞,supplement; compensate,"補(ホ): supplement"
収める,おさめる,動詞,obtain; store; finish,"収(シュウ): gain; store"
抑える,おさえる,動詞,suppress; control,"抑(ヨク): restrain"
教わる,おそわる,動詞,learn (from someone),"教(キョウ): teach"
恐れ,おそれ,名詞,fear; anxiety,"恐(キョウ): fear"
恐れ入る,おそれいる,動詞,be obliged; be grateful,"恐(キョウ): fear / 入(ニュウ): enter"
劣る,おとる,動詞,be inferior,"劣(レツ): inferior; lesser"
及ぼす,およぼす,動詞,exert; cause,"及(キュウ): reach"
概念,がいねん,名詞,concept,"概(ガイ): outline / 念(ネン): thought"
回復,かいふく,名詞,recovery,"回(カイ): return / 復(フク): restore"
改良,かいりょう,名詞,improvement,"改(カイ): reform / 良(リョウ): good"
改革,かいかく,名詞,reform,"改(カイ): reform / 革(カク): leather; reform"
介入,かいにゅう,名詞,intervention,"介(カイ): intervene; shell / 入(ニュウ): enter"
概要,がいよう,名詞,summary; outline,"概(ガイ): outline / 要(ヨウ): essential"
拡散,かくさん,名詞,spread; dispersion,"拡(カク): expand / 散(サン): scatter"
確実,かくじつ,名詞,reliability,"確(カク): certain / 実(ジツ): truth; real"
格差,かくさ,名詞,disparity,"格(カク): rank; status / 差(サ): difference"
確保,かくほ,名詞,securing; ensuring,"確(カク): certain / 保(ホ): protect"
描く,えがく,動詞,depict; draw,"描(ビョウ): draw; paint"
加減,かげん,名詞,adjustment; degree,"加(カ): add / 減(ゲン): decrease"
活用,かつよう,名詞,utilization; conjugation,"活(カツ): lively / 用(ヨウ): use"
兼ねる,かねる,動詞,serve two functions; hesitate to,"兼(ケン): combine"
可能,かのう,名詞,possibility,"可(カ): possible / 能(ノウ): ability"
過半数,かはんすう,名詞,majority,"過(カ): exceed / 半(ハン): half / 数(スウ): number"
過密,かみつ,名詞,overcrowding,"過(カ): exceed / 密(ミツ): dense"
革新,かくしん,名詞,innovation,"革(カク): leather; reform / 新(シン): new"
乾燥,かんそう,名詞,dryness,"乾(カン): dry / 燥(ソウ): dry up"
監視,かんし,名詞,monitoring,"監(カン): oversee / 視(シ): look"
感触,かんしょく,名詞,tactile feel,"感(カン): feeling / 触(ショク): touch"
簡潔,かんけつ,名詞,conciseness,"簡(カン): simple / 潔(ケツ): pure"
還元,かんげん,名詞,reduction; return,"還(カン): return / 元(ゲン): origin"
貫く,つらぬく,動詞,penetrate; persist,"貫(カン): pierce"
規格,きかく,名詞,standard; specification,"規(キ): rule / 格(カク): status"
機構,きこう,名詞,structure; mechanism,"機(キ): machine / 構(コウ): construct"
気配,けはい,名詞,sign; indication,"気(キ): spirit / 配(ハイ): distribute"
起源,きげん,名詞,origin,"起(キ): arise / 源(ゲン): source"
起用,きよう,名詞,appointment; assignment,"起(キ): arise / 用(ヨウ): use"
逆転,ぎゃくてん,名詞,reversal; turnaround,"逆(ギャク): reverse / 転(テン): turn"
救済,きゅうさい,名詞,relief; rescue,"救(キュウ): save / 済(サイ): finish"
究極,きゅうきょく,名詞,ultimate; final,"究(キュウ): investigate / 極(キョク): extreme"
吸収,きゅうしゅう,名詞,absorption,"吸(キュウ): suck / 収(シュウ): gather"
共感,きょうかん,名詞,empathy; sympathy,"共(キョウ): together / 感(カン): feeling"
強制,きょうせい,名詞,compulsion; enforcement,"強(キョウ): strong / 制(セイ): control"
境遇,きょうぐう,名詞,circumstances; environment,"境(キョウ): boundary / 遇(グウ): meet; encounter"
協調,きょうちょう,名詞,coordination; cooperation,"協(キョウ): cooperate / 調(チョウ): adjust"
許容,きょよう,名詞,allowance; tolerance,"許(キョ): permit / 容(ヨウ): contain; accept"
均衡,きんこう,名詞,balance; equilibrium,"均(キン): equal / 衡(コウ): balance"
金融,きんゆう,名詞,finance,"金(キン): gold; money / 融(ユウ): dissolve; merge"
区間,くかん,名詞,section; interval,"区(ク): section / 間(カン): interval"
具体的,ぐたいてき,形容動詞,concrete; specific,"具(グ): tool; means / 体(タイ): body / 的(テキ): -like; target"
繰り返す,くりかえす,動詞,repeat,"繰(ソウ): reel / 返(ヘン): return"
